community_id,community_name,category,nearest_poi_name,nearest_distance_m,nearest_poi_lon,nearest_poi_lat
0,秋港花园,地铁站,雪象(地铁站),370.7,114.078808,22.657116
0,秋港花园,公交站,宝吉路口(公交站),160.5,114.078885,22.660434
0,秋港花园,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3603.7,114.087413,22.691449
0,秋港花园,医疗设施,御仁堂中医诊所,469.2,114.076739,22.660709
0,秋港花园,商业服务,优壹家便利店,91.1,114.080375,22.660475
0,秋港花园,公园绿地,宝吉公园,242.1,114.07853,22.659397
1,秋港花园A2区,地铁站,雪象(地铁站),380.6,114.078808,22.657116
1,秋港花园A2区,公交站,宝吉路口(公交站),170.5,114.078885,22.660434
1,秋港花园A2区,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3593.7,114.087413,22.691449
1,秋港花园A2区,医疗设施,御仁堂中医诊所,479.1,114.076739,22.660709
1,秋港花园A2区,商业服务,优壹家便利店,81.1,114.080375,22.660475
1,秋港花园A2区,公园绿地,宝吉公园,252.0,114.07853,22.659397
2,秋港花园C区,地铁站,岗头(地铁站),865.7,114.071895,22.657067
2,秋港花园C区,公交站,天安云谷(公交站),155.2,114.0685,22.66102
2,秋港花园C区,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
2,秋港花园C区,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
2,秋港花园C区,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
2,秋港花园C区,公园绿地,极创公园,207.4,114.068337,22.661794
3,秋港花园东区,地铁站,雪象(地铁站),380.6,114.078808,22.657116
3,秋港花园东区,公交站,宝吉路口(公交站),170.5,114.078885,22.660434
3,秋港花园东区,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3593.7,114.087413,22.691449
3,秋港花园东区,医疗设施,御仁堂中医诊所,479.1,114.076739,22.660709
3,秋港花园东区,商业服务,优壹家便利店,81.1,114.080375,22.660475
3,秋港花园东区,公园绿地,宝吉公园,252.0,114.07853,22.659397
4,秋港花园F区,地铁站,雪象(地铁站),380.6,114.078808,22.657116
4,秋港花园F区,公交站,宝吉路口(公交站),170.5,114.078885,22.660434
4,秋港花园F区,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3593.7,114.087413,22.691449
4,秋港花园F区,医疗设施,御仁堂中医诊所,479.1,114.076739,22.660709
4,秋港花园F区,商业服务,优壹家便利店,81.1,114.080375,22.660475
4,秋港花园F区,公园绿地,宝吉公园,252.0,114.07853,22.659397
5,深圳外国语湾区学校教师公寓,地铁站,岗头(地铁站),865.7,114.071895,22.657067
5,深圳外国语湾区学校教师公寓,公交站,天安云谷(公交站),155.2,114.0685,22.66102
5,深圳外国语湾区学校教师公寓,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
5,深圳外国语湾区学校教师公寓,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
5,深圳外国语湾区学校教师公寓,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
5,深圳外国语湾区学校教师公寓,公园绿地,极创公园,207.4,114.068337,22.661794
6,坂李大道256号,地铁站,雪象(地铁站),207.6,114.078808,22.657116
6,坂李大道256号,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
6,坂李大道256号,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
6,坂李大道256号,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
6,坂李大道256号,商业服务,钱大妈(佳兆业·呈祥花园店),54.7,114.078746,22.659418
6,坂李大道256号,公园绿地,宝吉公园,55.0,114.07853,22.659397
7,广东实验中学深圳学校教师公寓,地铁站,岗头(地铁站),865.7,114.071895,22.657067
7,广东实验中学深圳学校教师公寓,公交站,天安云谷(公交站),155.2,114.0685,22.66102
7,广东实验中学深圳学校教师公寓,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
7,广东实验中学深圳学校教师公寓,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
7,广东实验中学深圳学校教师公寓,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
7,广东实验中学深圳学校教师公寓,公园绿地,极创公园,207.4,114.068337,22.661794
8,岗头中建三局生活区,地铁站,岗头(地铁站),865.7,114.071895,22.657067
8,岗头中建三局生活区,公交站,天安云谷(公交站),155.2,114.0685,22.66102
8,岗头中建三局生活区,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
8,岗头中建三局生活区,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
8,岗头中建三局生活区,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
8,岗头中建三局生活区,公园绿地,极创公园,207.4,114.068337,22.661794
9,中国中铁宿舍,地铁站,岗头(地铁站),865.7,114.071895,22.657067
9,中国中铁宿舍,公交站,天安云谷(公交站),155.2,114.0685,22.66102
9,中国中铁宿舍,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
9,中国中铁宿舍,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
9,中国中铁宿舍,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
9,中国中铁宿舍,公园绿地,极创公园,207.4,114.068337,22.661794
10,华为岗头人才公寓,地铁站,岗头(地铁站),865.7,114.071895,22.657067
10,华为岗头人才公寓,公交站,天安云谷(公交站),155.2,114.0685,22.66102
10,华为岗头人才公寓,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
10,华为岗头人才公寓,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
10,华为岗头人才公寓,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
10,华为岗头人才公寓,公园绿地,极创公园,207.4,114.068337,22.661794
11,佳兆业·中央广场三期,地铁站,雪象(地铁站),207.6,114.078808,22.657116
11,佳兆业·中央广场三期,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
11,佳兆业·中央广场三期,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
11,佳兆业·中央广场三期,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
11,佳兆业·中央广场三期,商业服务,钱大妈(佳兆业·呈祥花园店),54.7,114.078746,22.659418
11,佳兆业·中央广场三期,公园绿地,宝吉公园,55.0,114.07853,22.659397
12,华与科工项目部生活区,地铁站,岗头(地铁站),702.6,114.071895,22.657067
12,华与科工项目部生活区,公交站,天安云谷南广场(招呼站)(公交站),159.4,114.069165,22.6587
12,华与科工项目部生活区,教育设施,深圳外国语学校(集团)湾区学校,1125.8,114.070432,22.668388
12,华与科工项目部生活区,医疗设施,安贝康诊所·中医科,223.7,114.068694,22.660448
12,华与科工项目部生活区,商业服务,7-ELEVEn(天安云谷店),42.6,114.068564,22.658989
12,华与科工项目部生活区,公园绿地,禾坪岗康乐广场,314.6,114.067862,22.656735
13,佳兆业·中央广场一期,地铁站,雪象(地铁站),207.6,114.078808,22.657116
13,佳兆业·中央广场一期,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
13,佳兆业·中央广场一期,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
13,佳兆业·中央广场一期,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
13,佳兆业·中央广场一期,商业服务,钱大妈(佳兆业·呈祥花园店),54.7,114.078746,22.659418
13,佳兆业·中央广场一期,公园绿地,宝吉公园,55.0,114.07853,22.659397
14,香江家园,地铁站,岗头(地铁站),865.7,114.071895,22.657067
14,香江家园,公交站,天安云谷(公交站),155.2,114.0685,22.66102
14,香江家园,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
14,香江家园,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
14,香江家园,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
14,香江家园,公园绿地,极创公园,207.4,114.068337,22.661794
15,景和源工业区C栋宿舍,地铁站,雪象(地铁站),207.6,114.078808,22.657116
15,景和源工业区C栋宿舍,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
15,景和源工业区C栋宿舍,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
15,景和源工业区C栋宿舍,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
15,景和源工业区C栋宿舍,商业服务,钱大妈(佳兆业·呈祥花园店),54.7,114.078746,22.659418
15,景和源工业区C栋宿舍,公园绿地,宝吉公园,55.0,114.07853,22.659397
16,华为金园公寓,地铁站,岗头(地铁站),865.7,114.071895,22.657067
16,华为金园公寓,公交站,天安云谷(公交站),155.2,114.0685,22.66102
16,华为金园公寓,教育设施,深圳外国语学校(集团)湾区学校,962.8,114.070432,22.668388
16,华为金园公寓,医疗设施,安贝康诊所·中医科,201.2,114.068694,22.660448
16,华为金园公寓,商业服务,7-ELEVEn(天安云谷3栋店),145.2,114.068231,22.660172
16,华为金园公寓,公园绿地,极创公园,207.4,114.068337,22.661794
17,佳兆业·中央广场,地铁站,雪象(地铁站),207.6,114.078808,22.657116
17,佳兆业·中央广场,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
17,佳兆业·中央广场,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
17,佳兆业·中央广场,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
17,佳兆业·中央广场,商业服务,钱大妈(佳兆业·呈祥花园店),54.7,114.078746,22.659418
17,佳兆业·中央广场,公园绿地,宝吉公园,55.0,114.07853,22.659397
18,舜杰生活区,地铁站,岗头(地铁站),626.1,114.071895,22.657067
18,舜杰生活区,公交站,天安云谷南广场(招呼站)(公交站),82.9,114.069165,22.6587
18,舜杰生活区,教育设施,深圳外国语学校(集团)湾区学校,1202.4,114.070432,22.668388
18,舜杰生活区,医疗设施,深圳归朴堂天安中医(综合)诊所,255.3,114.070836,22.658998
18,舜杰生活区,商业服务,7-ELEVEn(天安云谷店),119.1,114.068564,22.658989
18,舜杰生活区,公园绿地,禾坪岗康乐广场,238.0,114.067862,22.656735
19,佳兆业·呈祥花园一期,地铁站,雪象(地铁站),359.6,114.078808,22.657116
19,佳兆业·呈祥花园一期,公交站,宝吉路口(公交站),149.4,114.078885,22.660434
19,佳兆业·呈祥花园一期,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3614.8,114.087413,22.691449
19,佳兆业·呈祥花园一期,医疗设施,御仁堂中医诊所,458.1,114.076739,22.660709
19,佳兆业·呈祥花园一期,商业服务,沙县小吃(呈祥花园分店),99.2,114.079317,22.660217
19,佳兆业·呈祥花园一期,公园绿地,宝吉公园,231.0,114.07853,22.659397
20,佳兆业·中央广场二期,地铁站,雪象(地铁站),207.6,114.078808,22.657116
20,佳兆业·中央广场二期,公交站,雪象地铁站(公交站),186.9,114.078308,22.657372
20,佳兆业·中央广场二期,教育设施,深圳市龙华区德风小学附属白鸽湖幼儿园,3790.7,114.087413,22.691449
20,佳兆业·中央广场二期,医疗设施,御仁堂中医诊所,282.1,114.076739,22.660709
